status,reason,source,title,begin,end,lat,lng,link
"DROPPED","OUT_OF_WINDOW","mobilize","Brazoria Democrats County Executive Committee","2025-10-16","2025-10-16","29.351775","-95.3973602","https://www.mobilize.us/bcdp/event/109220/"
"DROPPED","OUT_OF_WINDOW","mobilize","All On The Line Monthly Volunteer Virtual Meeting","2025-10-15","2025-10-15","","","https://www.mobilize.us/allontheline/event/271054/"
"DROPPED","OUT_OF_WINDOW","mobilize","Fridays at 4--Letter Writing and More! (4 pm Pacific/7 pm Eastern)","2025-10-03","2025-10-03","42.1945758","-122.7094767","https://www.mobilize.us/swingleft/event/274619/"
"DROPPED","OUT_OF_WINDOW","mobilize","Welcome to the Party Call","2025-10-07","2025-10-07","40.804574","-96.6157192","https://www.mobilize.us/nebdems/event/284401/"
"DROPPED","OUT_OF_WINDOW","mobilize","SemDems Monthly Meeting","2025-10-09","2025-10-09","28.6561008","-81.360254","https://www.mobilize.us/semdems/event/284688/"
"DROPPED","OUT_OF_WINDOW","mobilize","Welcome Call: Join Sunrise, Fight Fascism","2025-10-16","2025-10-16","","","https://www.mobilize.us/sunrisemovement/event/354486/"
"DROPPED","OUT_OF_WINDOW","mobilize","DeKalb Dems Monthly Business Meeting","2025-11-06","2025-11-06","33.7479502","-84.3889875","https://www.mobilize.us/dekalbcountydemocrats/event/365466/"
"DROPPED","OUT_OF_WINDOW","mobilize","Duval Dems Monthly General Meeting","2025-10-20","2025-10-20","","","https://www.mobilize.us/duvalcountydec/event/365586/"
"DROPPED","OUT_OF_WINDOW","mobilize","RCV Breakfast Club: Monthly RCV Meeting","2025-10-04","2025-10-04","46.9770179","-122.858419","https://www.mobilize.us/fairvotewa/event/366996/"
"DROPPED","OUT_OF_WINDOW","mobilize","Climate Council Monthly Meeting","2025-10-08","2025-10-08","40.804574","-96.6157192","https://www.mobilize.us/nebdems/event/373451/"
"KEPT","VIRTUAL","mobilize","2020 Victorious! Strategic Community Organizing * Phenomenal Election Impact | Communities United","2027-12-31","2027-12-31","","","https://www.mobilize.us/2020victorious/event/373889/"
"DROPPED","OUT_OF_WINDOW","mobilize","Sister District Portland+ Monthly Team Call","2025-10-02","2025-10-02","","","https://www.mobilize.us/sisterdistrictportland/event/375028/"
"DROPPED","OUT_OF_WINDOW","mobilize","POSTCARDING w/DOLLY and SUE into all swing states - w/Field Team 6 & The Union","2025-10-08","2025-10-08","","","https://www.mobilize.us/ft6/event/375701/"
"KEPT","VIRTUAL","mobilize","HIGHLIGHTS * 2020 Victorious! | Communities United: NATIONAL PRIORITIES - Community Advocacy","2027-12-31","2027-12-31","","","https://www.mobilize.us/2020victorious/event/376802/"
"DROPPED","OUT_OF_WINDOW","mobilize","Young Democrats of Johnston County Monthly Meeting","2025-11-05","2025-11-05","35.5111996","-78.346102","https://www.mobilize.us/johnstoncountydems/event/379788/"
"KEPT","VIRTUAL","mobilize","Membership Matters * 2020 Victorious! | Communities United ... (benefits-privileges)","2027-12-31","2027-12-31","","","https://www.mobilize.us/2020victorious/event/381214/"
"KEPT","VIRTUAL","mobilize","2020 Victorious! National Priorities Reading-Book Collections | Communities United ~members+guests~","2027-12-31","2027-12-31","","","https://www.mobilize.us/2020victorious/event/382138/"
"KEPT","VIRTUAL","mobilize","2020 Victorious! Government Accountability * Political Polarization | Communities United ~members~","2027-12-31","2027-12-31","","","https://www.mobilize.us/2020victorious/event/382139/"
"KEPT","VIRTUAL","mobilize","2020 Victorious! The Relevancy of The Presidency | Communities United ~members~","2027-12-31","2027-12-31","","","https://www.mobilize.us/2020victorious/event/382140/"
"DROPPED","OUT_OF_WINDOW","mobilize","Sign Up to Volunteer!","2025-10-02","2025-10-02","","","https://www.mobilize.us/duvalcountydec/event/387671/"
"KEPT","VIRTUAL","mobilize","2020 Victorious! Citizen-Youth Accountability * Community Organizing | Communities United ~youth~","2027-12-31","2027-12-31","","","https://www.mobilize.us/2020victorious/event/388307/"
"KEPT","VIRTUAL","mobilize","2020 Victorious! NATIONAL PROPOSALS * Community Conversations | Communities United ~independents~","2027-12-31","2027-12-31","","","https://www.mobilize.us/2020victorious/event/389109/"
"DROPPED","OUT_OF_WINDOW","mobilize","Virtual Phonebank Training On Demand","2025-10-02","2025-10-02","","","https://www.mobilize.us/pbcdemocraticparty/event/390052/"
"DROPPED","OUT_OF_WINDOW","mobilize","Voter Registration Training","2025-10-04","2025-10-04","","","https://www.mobilize.us/leecountydec/event/393394/"
"KEPT","VIRTUAL","mobilize","2020 Victorious! National Priorities-Proposals Support Opportunities | Communities United","2027-12-31","2027-12-31","","","https://www.mobilize.us/2020victorious/event/394431/"
"KEPT","VIRTUAL","mobilize","2020 Victorious! National Priorities-Proposals Volunteer Call-to-Action | Communities United","2027-12-31","2027-12-31","","","https://www.mobilize.us/2020victorious/event/394432/"
"DROPPED","OUT_OF_WINDOW","mobilize","Left Wing Night","2025-10-08","2025-10-08","41.0969275","-85.1227042","https://www.mobilize.us/allencountydemocrats/event/395200/"
"KEPT","GEO","mobilize","Voter Registration Training","2026-03-03","2026-03-03","38.0488113","-84.5091102","https://www.mobilize.us/kftc/event/402893/"
"KEPT","GEO","mobilize","Grassroots Lobbying for Voting Rights Webinar","2025-12-09","2025-12-09","38.2556928","-85.751283","https://www.mobilize.us/kftc/event/402896/"
"DROPPED","OUT_OF_WINDOW","mobilize","BYOP Free Texting - Register Democrats in all swing states!","2025-10-09","2025-10-09","34.0386656","-118.4221519","https://www.mobilize.us/ft6/event/405150/"
"DROPPED","OUT_OF_WINDOW","mobilize","Shelby Chapter KFTC Meeting","2025-10-16","2025-10-16","38.2116916","-85.2119883","https://www.mobilize.us/kftc/event/405484/"
"DROPPED","OUT_OF_WINDOW","mobilize","Democratic Women's Club of Allen County Meeting","2025-10-15","2025-10-15","41.0771709","-85.1432369","https://www.mobilize.us/allencountydemocrats/event/408731/"
"KEPT","VIRTUAL","mobilize","2020 Victorious! | National Voter Mobilization-Education Weeks of Action | Communities United","2027-12-31","2027-12-31","","","https://www.mobilize.us/2020victorious/event/409067/"
"KEPT","VIRTUAL","mobilize","2020 Victorious! Strategic Community Organizing * Phenomenal Election Impact | Communities United","2028-01-01","2028-01-01","","","https://www.mobilize.us/2020victorious/event/413623/"
"KEPT","VIRTUAL","mobilize","2020 Victorious! Student-Youth Leadership * Community Organizing | Communities United ~students~","2028-01-01","2028-01-01","","","https://www.mobilize.us/2020victorious/event/413624/"
"KEPT","GEO","mobilize","2020 Victorious! MLK NATIONAL DAY-WEEK OF ACTION-IMPACT-SERVICE | Communities United","2028-01-01","2028-01-01","40.6433507","-73.7889689","https://www.mobilize.us/2020victorious/event/413625/"
"KEPT","GEO","mobilize","LCDP Monthly General Meeting - North","2025-12-04","2025-12-04","34.9337685","-80.8366544","https://www.mobilize.us/lancastercountydemocraticparty/event/419501/"
"KEPT","GEO","mobilize","KFTC's Approach to Voter Engagement","2025-11-18","2025-11-18","38.2429908","-85.7641013","https://www.mobilize.us/kftc/event/420353/"
"KEPT","VIRTUAL","mobilize","2020 Victorious! | National Vote Early Day Campaign | Communities United","2027-12-31","2027-12-31","","","https://www.mobilize.us/2020victorious/event/421486/"
"DROPPED","OUT_OF_WINDOW","mobilize","Team ENOUGH Welcome Session (For Young People Under 26)","2025-10-08","2025-10-08","38.9052763","-76.9815877","https://www.mobilize.us/brady/event/425528/"
"DROPPED","OUT_OF_WINDOW","mobilize","Working Families Party Nationwide Welcome Gathering","2025-10-16","2025-10-16","","","https://www.mobilize.us/workingfamilies/event/428362/"
"DROPPED","OUT_OF_WINDOW","mobilize","GACE Certification Virtual Workshop","2025-10-18","2025-10-18","","","https://www.mobilize.us/gae/event/428569/"
"DROPPED","OUT_OF_WINDOW","mobilize","The Media and Democracy Project - What activists can do: Fix Media Now","2025-10-20","2025-10-20","","","https://www.mobilize.us/mediademocracyproject/event/430177/"
"KEPT","VIRTUAL","mobilize","2020 Victorious! | National Voter Mobilization-Education Year of Action | Communities United","2027-12-31","2027-12-31","","","https://www.mobilize.us/2020victorious/event/434596/"
"DROPPED","OUT_OF_WINDOW","mobilize","F.A.I.R. Program Virtual Tech T.I.P.S. and Office Hours","2025-10-21","2025-10-21","","","https://www.mobilize.us/faircount/event/435122/"
"DROPPED","OUT_OF_WINDOW","mobilize","Baytown Area Democrats Club Meeting","2025-10-14","2025-10-14","29.7355047","-94.9774274","https://www.mobilize.us/baytownareadems/event/437109/"
"KEPT","GEO","mobilize","Ulster County Community Meeting","2025-11-20","2025-11-20","41.9284711","-73.9997759","https://www.mobilize.us/forthemany/event/438303/"
"DROPPED","OUT_OF_WINDOW","mobilize","Gila Dems Office Scheduling","2025-10-04","2025-10-04","34.2366065","-111.322072","https://www.mobilize.us/gilacountydems/event/439751/"
"DROPPED","OUT_OF_WINDOW","mobilize","SemDems Environmental Advocates Meeting","2025-10-20","2025-10-20","28.7108495","-81.3509416","https://www.mobilize.us/semdems/event/440543/"
"DROPPED","OUT_OF_WINDOW","mobilize","Garden Club at Burrows Pocket Park and The Green In-Between","2025-10-04","2025-10-04","37.729072","-122.4037867","https://www.mobilize.us/sanfrancisco/event/442324/"
"DROPPED","OUT_OF_WINDOW","mobilize","CIVIC SUNDAYS - SHOW UP, DO SOMETHING - IN PERSON!","2025-10-05","2025-10-05","34.0536909","-118.242766","https://www.mobilize.us/civicsundays/event/443382/"
"DROPPED","OUT_OF_WINDOW","mobilize","How to Partner with Field Team 6 – for Organizations! (Volunteer? Sign up for ""Welcome to FT6!"")","2025-10-28","2025-10-28","","","https://www.mobilize.us/ft6/event/446344/"
"DROPPED","OUT_OF_WINDOW","mobilize","Sully District Democratic Committee Monthly Meeting","2025-10-07","2025-10-07","38.871215","-77.4516422","https://www.mobilize.us/fairfaxdems/event/449607/"
"DROPPED","OUT_OF_WINDOW","mobilize","Springfield District Committee Monthly Meeting","2025-10-09","2025-10-09","38.7843884","-77.2807423","https://www.mobilize.us/fairfaxdems/event/450178/"
"DROPPED","OUT_OF_WINDOW","mobilize","New Member Orientation","2025-10-20","2025-10-20","","","https://www.mobilize.us/supermajority/event/450547/"
"DROPPED","OUT_OF_WINDOW","mobilize","Indivisible OR - Vote Fwrd Letter Writing - Migration Brewery-Glisan 2-4 pm","2025-10-04","2025-10-04","45.5202471","-122.674194","https://www.mobilize.us/swingleft/event/456327/"
"KEPT","GEO","mobilize","Voter Mobilization Calls to KFTC Members Statewide","2026-04-22","2026-04-22","38.0488113","-84.5091102","https://www.mobilize.us/kftc/event/457102/"
"DROPPED","OUT_OF_WINDOW","mobilize","Monthly Meeting for the Calhoun County Democratic Club","2025-10-07","2025-10-07","28.615415","-96.628465","https://www.mobilize.us/calhouncountydemocrats/event/457242/"
"DROPPED","OUT_OF_WINDOW","mobilize","PA Secular Democrats monthly meeting","2025-10-07","2025-10-07","40.0021177","-75.3004009","https://www.mobilize.us/padems/event/458391/"
"DROPPED","OUT_OF_WINDOW","mobilize","Politics & Coffee with the New Trier Democrats","2025-10-12","2025-10-12","42.1080703","-87.7365286","https://www.mobilize.us/newtrierdemocraticorganization/event/459133/"
"DROPPED","OUT_OF_WINDOW","mobilize","Canvass (Door Knocking) Training On Demand","2025-10-02","2025-10-02","","","https://www.mobilize.us/pbcdemocraticparty/event/463816/"
"DROPPED","OUT_OF_WINDOW","mobilize","Detention Advocacy Team","2025-10-15","2025-10-15","","","https://www.mobilize.us/aclufl/event/464265/"
"DROPPED","OUT_OF_WINDOW","mobilize","Blue Victory War Room: ""Win Elections, Rebuild Democracy"" with Swing Left","2025-10-06","2025-10-06","38.8975003","-77.0364766","https://www.mobilize.us/bluevictory/event/468062/"
"DROPPED","OUT_OF_WINDOW","mobilize","Virginia Blue Victory War Room: Win Elections, Rebuild Democracy","2025-10-06","2025-10-06","38.8629803","-77.4816693","https://www.mobilize.us/bluevictory/event/468065/"
"DROPPED","OUT_OF_WINDOW","mobilize","Intro to the Power Building Team","2025-10-07","2025-10-07","","","https://www.mobilize.us/blackvotersmatter/event/474447/"
"DROPPED","OUT_OF_WINDOW","mobilize","Glen Park Greenway Beautification Day","2025-10-04","2025-10-04","37.734397","-122.4367488","https://www.mobilize.us/sanfrancisco/event/479399/"
"DROPPED","OUT_OF_WINDOW","mobilize","NJ: Food & Water Team Central Jersey Volunteer Meeting","2025-10-11","2025-10-11","40.4861552","-74.45185","https://www.mobilize.us/fwa/event/482376/"
"KEPT","VIRTUAL","mobilize","Suppressed and Sabotaged: The Fight to Vote Watch Party | Communities United","2027-12-31","2027-12-31","","","https://www.mobilize.us/2020victorious/event/484461/"
"DROPPED","OUT_OF_WINDOW","mobilize","Basic Instagram Training for Social Storming with Field Team 6!","2025-10-08","2025-10-08","","","https://www.mobilize.us/ft6/event/484962/"
"DROPPED","OUT_OF_WINDOW","mobilize","Yuba County Democratic Central Committee Meeting","2025-10-13","2025-10-13","39.1446376","-121.5872371","https://www.mobilize.us/cadems/event/494751/"
"DROPPED","OUT_OF_WINDOW","mobilize","Big Sandy KFTC Chapter Meeting","2025-10-07","2025-10-07","37.6685041","-82.7735682","https://www.mobilize.us/kftc/event/497752/"
"DROPPED","OUT_OF_WINDOW","mobilize","East Kentucky Community Remembrance Project Meeting","2025-10-21","2025-10-21","37.6656527","-82.7715486","https://www.mobilize.us/kftc/event/497779/"
"DROPPED","OUT_OF_WINDOW","mobilize","Grassroots Fundraising Training!","2025-11-05","2025-11-05","38.0488113","-84.5091102","https://www.mobilize.us/kftc/event/503899/"
"DROPPED","OUT_OF_WINDOW","mobilize","Blue Victory War Room: Win Elections, Rebuild Democracy with Swing Left","2025-10-06","2025-10-06","38.8976763","-77.0365298","https://www.mobilize.us/swingleft/event/511729/"
"KEPT","VIRTUAL","mobilize","2020 Victorious! Election Directions-Perspectives-Reflections | Communities United","2028-01-01","2028-01-01","","","https://www.mobilize.us/2020victorious/event/512060/"
"DROPPED","OUT_OF_WINDOW","mobilize","HWD General Info Session","2025-10-09","2025-10-09","","","https://www.mobilize.us/hwd/event/520496/"
"DROPPED","OUT_OF_WINDOW","mobilize","Courtwatch DC Training","2025-10-30","2025-10-30","","","https://www.mobilize.us/hwd/event/523932/"
"DROPPED","OUT_OF_WINDOW","mobilize","Rowan County KFTC Chapter Meeting","2025-10-16","2025-10-16","38.1851628","-83.4375574","https://www.mobilize.us/kftc/event/524614/"
"DROPPED","OUT_OF_WINDOW","mobilize","African American Caucus of Franklin County NC","2025-10-09","2025-10-09","36.099047","-78.300487","https://www.mobilize.us/fcdemsnc/event/527845/"
"KEPT","GEO","mobilize","Candidate and Campaign Manager Training","2026-08-04","2026-08-04","38.0488113","-84.5091102","https://www.mobilize.us/kftc/event/542860/"
"DROPPED","OUT_OF_WINDOW","mobilize","Spokesperson Training Webinar for People with Felonies in their Past","2025-10-07","2025-10-07","38.2556928","-85.751283","https://www.mobilize.us/kftc/event/543837/"
"DROPPED","OUT_OF_WINDOW","mobilize","ACDP Luncheon Club","2025-10-22","2025-10-22","41.1728532","-85.1675783","https://www.mobilize.us/allencountydemocrats/event/544695/"
"DROPPED","OUT_OF_WINDOW","mobilize","LGBTQIA Council of the Kentucky Democratic Party Monthly Meeting","2025-10-15","2025-10-15","39.0071147","-84.3436881","https://www.mobilize.us/kydems/event/544715/"
"DROPPED","OUT_OF_WINDOW","mobilize","Virginia Blue Victory War Room: Win Elections, Rebuild Democracy with Swing Left","2025-10-06","2025-10-06","38.8629803","-77.4816693","https://www.mobilize.us/swingleft/event/545175/"
"DROPPED","OUT_OF_WINDOW","mobilize","Step by Step! Athens Avalon Gardening Day","2025-10-05","2025-10-05","37.7249643","-122.4261709","https://www.mobilize.us/sanfrancisco/event/545322/"
"DROPPED","OUT_OF_WINDOW","mobilize","Compost Hub Support: Elysian Valley Community Garden","2025-10-03","2025-10-03","34.0971922","-118.2430766","https://www.mobilize.us/lacompost/event/545556/"
"DROPPED","OUT_OF_WINDOW","mobilize","LD4 Dems Monthly Meeting","2025-10-15","2025-10-15","33.5806857","-111.9413277","https://www.mobilize.us/ld4democrats/event/546327/"
"DROPPED","OUT_OF_WINDOW","mobilize","January 6th Investigations and National Developments ... (legal-political)","2025-10-26","2025-10-26","","","https://www.mobilize.us/2020victorious/event/546424/"
"DROPPED","OUT_OF_WINDOW","mobilize","The Phenomenal Work of the January 6th Committee","2025-10-26","2025-10-26","","","https://www.mobilize.us/2020victorious/event/546425/"
"DROPPED","OUT_OF_WINDOW","mobilize","Community Building Roundtable All-Inclusive","2025-10-12","2025-10-12","","","https://www.mobilize.us/2020victorious/event/546426/"
"DROPPED","OUT_OF_WINDOW","mobilize","Volunteer Orientation: Unlock Your Impact!","2025-10-06","2025-10-06","","","https://www.mobilize.us/fwa/event/546904/"
"DROPPED","OUT_OF_WINDOW","mobilize","Kingston Calls + Cocoa","2025-10-15","2025-10-15","41.9284685","-73.999783","https://www.mobilize.us/forthemany/event/547042/"
"DROPPED","OUT_OF_WINDOW","mobilize","Monthly All Member Meeting","2025-10-09","2025-10-09","","","https://www.mobilize.us/sisterdistrictsouthbay/event/547245/"
"DROPPED","OUT_OF_WINDOW","mobilize","FDC Breakfast","2025-10-13","2025-10-13","33.147704","-96.8248503","https://www.mobilize.us/friscodemocraticclub/event/547359/"
