status,reason,source,title,begin,end,lat,lng,link
"DROPPED","OUT_OF_WINDOW","mobilizon","Hands Off Europe: A Peaceful Rally for European Sovereignty","2026-03-14","2026-03-14","50.8391637","4.3728234","https://events.pol-rev.com/events/d6424c13-759d-45a8-a075-e4960fde4a06"
"DROPPED","OUT_OF_WINDOW","mobilizon","BloNo IL - Shut The Flock Off - Zine Making Session Again!","2026-03-14","2026-03-14","40.4929988","-88.9684006","https://events.pol-rev.com/events/4ba93e2d-1a80-4121-9f26-3a163d9e19c4"
"DROPPED","OUT_OF_WINDOW","mobilizon","No Illegal Wars","2026-03-14","2026-03-14","45.2215057","-112.6330078","https://events.pol-rev.com/events/730617b4-fc65-4388-9856-783e91c96f68"
"DROPPED","OUT_OF_WINDOW","mobilizon","Northtowns Rise Up Weekly Protest","2026-03-14","2026-03-14","42.9910451668341","-78.82282197475435","https://events.pol-rev.com/events/bc877f96-f3c4-4189-82a8-0434a872d073"
"DROPPED","OUT_OF_WINDOW","mobilizon","Ultimate ICE Breaker","2026-03-14","2026-03-14","","","https://events.pol-rev.com/events/a12c713e-1619-4e2b-a9f2-86b6d3ebb044"
"DROPPED","OUT_OF_WINDOW","mobilizon","Hands Off Beverly Weekly Saturday Protest","2026-03-14","2026-03-14","42.5471373","-70.8846872","https://events.pol-rev.com/events/db13f82f-b9ae-4e7b-b8a3-8e93fbe23ebe"
"DROPPED","OUT_OF_WINDOW","mobilizon","No KINGS, No Wars, No ICE on our Streets - Saturdays at Dedham Tesla","2026-03-14","2026-03-14","42.2359433","-71.1782556","https://events.pol-rev.com/events/61e92705-0007-4e8b-83e1-3be1ddb62943"
"DROPPED","OUT_OF_WINDOW","mobilizon","Southtowns Weekly Protest","2026-03-14","2026-03-14","42.71555200232217","-78.82965087890626","https://events.pol-rev.com/events/6b038dbb-9fdd-4288-acdf-ecb236d17e43"
"DROPPED","OUT_OF_WINDOW","mobilizon","Community Rally","2026-03-14","2026-03-14","42.0035588","-88.0037711","https://events.pol-rev.com/events/5334af46-8e42-4576-b87d-e8a54e08cc78"
"DROPPED","OUT_OF_WINDOW","protestapi","SIGN MAKING PARTY - Come get creative and build community.","2025-06-11","2025-06-11","35.3804540127671","-119.01556893175709",""
"DROPPED","OUT_OF_WINDOW","protestapi","GOOD TROUBLE LIVES ON: Bakersfield, CA organized by John Lewis Actions","2025-07-17","2025-07-17","35.37093695829334","-119.02452722020709","https://www.mobilize.us/mobilize/event/803926/"
"DROPPED","OUT_OF_WINDOW","protestapi","Let's start a #ResistTrump Chapter in Bakersfield CA organized by ResistTrump Campaign","2025-06-28","2025-06-28","35.376486","-119.024076","https://www.mobilize.us/mobilize/event/794031/"
"DROPPED","OUT_OF_WINDOW","protestapi","Swing Left Bakersfield CA Weekly Meeting","2025-06-18","2025-06-18","35.3732921","-119.0187125","https://www.mobilize.us/mobilize/event/790127/"
"DROPPED","OUT_OF_WINDOW","protestapi","Swing Left Bakersfield CA Weekly Meeting","2025-11-05","2025-11-05","35.3732921","-119.0187125","https://www.mobilize.us/mobilize/event/790127/"
"DROPPED","OUT_OF_WINDOW","protestapi","Fighting the Attacks on Our Healthcare and How We Win Healthcare Justice Town Hall - 6-8PM","2025-08-14","2025-08-14","35.36695571188702","-118.99162769094127","https://www.instagram.com/p/DM0HFowxn--/?utm_source=ig_web_copy_link"
